关键词,频次
农村,80
建设,48
农业,44
乡村,43
加强,40
工作,39
推进,33
脱贫,31
服务,25
全面,24
支持,24
政策,23
三农,20
用地,20
扶贫,19
开展,19
治理,19
发展,18
农民,17
落实,17
强化,16
保障,16
制度,16
农产品,16
提高,15
实施,14
改革,14
产业,14
加快,14
管理,14
试点,14
稳定,13
基本,13
生产,13
攻坚,12
群众,12
加大,12
扩大,12
体系,12
完善,12
重点,11
做好,11
推动,11
设施,11
集体,11
确保,10
力度,10
乡镇,10
实现,9
小康,9
持续,9
坚持,9
问题,9
组织,9
整治,9
教师,9
农民工,9
领域,8
任务,8
贫困,8
优化,8
规模,8
基层,8
地区,8
国家,8
振兴,7
重大,7
制定,7
继续,7
完成,7
社会,7
专项,7
纳入,7
工程,7
保护,7
鼓励,7
学校,7
资源,7
能力,7
文化,7
土地,7
生猪,7
领导,7
科技,7
攻坚战,6
突出,6
中央,6
提升,6
贫困人口,6
基础,6
进一步,6
深入,6
各地,6
推广,6
标准,6
责任,6
解决,6
方式,6
抓紧,6
启动,6
范围,6
改造,6
政府,6
行动,6
地方,6
安排,6
有效,6
农村基层,6
县级,6
保险,6
合理,6
下乡,6
投资,6
项目,6
党组织,6
审批,6
宅基地,6
抓好,5
意见,5
打赢,5
出台,5
举措,5
建成,5
小康社会,5
目标,5
短板,5
安全,5
贫困地区,5
救助,5
综合,5
增加,5
资金,5
主要,5
用于,5
健全,5
深化,5
扎实,5
队伍,5
研究,5
调整,5
公共,5
城市,5
模式,5
优先,5
教育,5
符合条件,5
供给,5
重要,5
粮食,5
补贴,5
使用,5
养殖,5
物流,5
合作社,5
产业链,5
创业,5
作用,5
县域,5
人才,5
党中央,4
战略,4
质量,4
坚决,4
要求,4
时代,4
更加,4
饮水,4
力量,4
帮扶,4
信贷,4
巩固,4
成果,4
防止,4
人口,4
监测,4
机制,4
及时,4
扶持,4
不摘,4
监管,4
相对,4
建立,4
基础设施,4
条例,4
统筹,4
工程建设,4
条件,4
中西部,4
生活,4
进行,4
大力,4
医生,4
防控,4
利用,4
实行,4
指标,4
农田,4
措施,4
防疫,4
引导,4
一批,4
监督,4
保鲜,4
基地,4
家庭,4
企业,4
建立健全,4
培育,4
经营,4
农户,4
工资,4
创新,4
集体经济,4
执法,4
资产,4
风险,4
涉农,4
十九大,3
收官,3
关键,3
习近平,3
中国,3
贯彻,3
十九,3
精神,3
保供,3
保持,3
精准,3
三区,3
三州,3
深度,3
集中,3
行政村,3
低保,3
财政,3
新增,3
排查,3
经验,3
就业,3
深入开展,3
考核,3
宣传,3
程序,3
常态,3
优势,3
减贫,3
贫困县,3
可以,3
根据,3
实际,3
情况,3
示范,3
有序,3
支付,3
养护,3
计划,3
村庄,3
供水,3
水平,3
布局,3
延伸,3
补助,3
人居,3
环境,3
分类,3
确定,3
技术,3
中心,3
改善,3
义务教育,3
职业,3
办好,3
培训,3
服务体系,3
收益,3
加工,3
高标准,3
耕地,3
渠道,3
一件,3
相结合,3
严格,3
研发,3
市场,3
行为,3
现代农业,3
配套,3
仓储,3
冷链,3
农场,3
供销,3
现代,3
应用,3
打造,3
融合,3
新型,3
主体,3
通过,3
失业,3
登记,3
生态,3
增强,3
书记,3
党委,3
发挥,3
部门,3
干部,3
化解,3
矛盾,3
各类,3
投入,3
省级,3
农机,3
担保,3
面向,3
普惠,3
培养,3
探索,3
关于,2
如期,2
以来,2
作出,2
一系列,2
部署,2
两大,2
必须,2
深刻,2
特殊,2
第一个,2
百年,2
奋斗目标,2
特色,2
四中全会,2
贯彻落实,2
经济,2
对标,2
补上,2
稳产,2
增收,2
和谐,2
全面完成,2
已经,2
成就,2
阶段,2
普遍,2
医保,2
人员,2
社会保障,2
中央财政,2
挂钩,2
返贫,2
一项,2
整改,2
一户,2
动态,2
发生,2
易地,2
搬迁,2
后续,2
验收,2
退出,2
严格执行,2
数字,2
历史,2
督促,2
协作,2
各省,2
自治区,2
直辖市,2
统筹安排,2
贫困村,2
重心,2
长效机制,2
有机,2
衔接,2
创建,2
硬化,2
转移,2
农村公路,2
进程,2
村寨,2
移动,2
通信,2
网络,2
管护,2
规划,2
维修,2
厕所,2
推开,2
减量,2
污水,2
县城,2
中小学,2
平均工资,2
收入水平,2
倾斜,2
学前教育,2
儿童,2
医疗卫生,2
医院,2
标准化,2
卫生院,2
医疗,2
稳步,2
紧密,2
适当,2
简化,2
医学,2
毕业生,2
规范化,2
给予,2
贷款,2
现有,2
疾病,2
妇女,2
检查,2
城乡居民,2
一站式,2
办理,2
老年人,2
养老,2
护理,2
覆盖面,2
定期,2
传统,2
丰收,2
粪污,2
黑土地,2
农用地,2
综合治理,2
粮食安全,2
产量,2
稻谷,2
小麦,2
玉米,2
收入,2
大豆,2
品种,2
托管,2
产粮,2
调剂,2
按规定,2
优质,2
进口,2
恢复,2
大事,2
采取,2
猪肉,2
动物,2
经费,2
打击,2
绿色,2
谋划,2
一块,2
大中型,2
节水,2
预算内,2
邮政,2
快递,2
产业化,2
龙头企业,2
分拣,2
包装,2
冷藏,2
用电,2
气象,2
形成,2
一二三,2
入股,2
结构,2
品牌,2
电子商务,2
村级,2
食品,2
企业家,2
相关,2
统计,2
工作力度,2
技能,2
享受,2
整顿,2
执行,2
看护,2
认真落实,2
中国共产党,2
参与,2
周围,2
全面落实,2
成员,2
软弱涣散,2
村务,2
激励,2
干事,2
特别,2
活动,2
整合,2
方面,2
自我,2
自治,2
不出,2
畅通,2
诉求,2
承包,2
推行,2
直接,2
非法,2
防范,2
依法,2
补短,2
债券,2
发行,2
按照,2
草原,2
到期,2
机构,2
业务,2
适度,2
小微,2
税收,2
设置,2
抵押,2
金融,2
构建,2
期货,2
辅助,2
国土,2
空间规划,2
合一,2
特派员,2
农业产业,2
为农,2
使用权,2
中共中央,1
国务院,1
围绕,1
实践证明,1
方针政策,1
完全正确,1
今后,1
一个,1
时期,1
贯彻执行,1
认为,1
上述,1
最后,1
堡垒,1
攻克,1
老乡,1
怎么样,1
成色,1
如何,1
很大,1
程度,1
上要,1
成效,1
全党,1
务必,1
认识,1
重要性,1
毫不,1
松懈,1
加力,1
夺取,1
胜利,1
社会主义,1
思想,1
指导,1
二中,1
三中,1
会议,1
对表,1
狠抓落实,1
集中力量,1
高质量,1
获得,1
幸福感,1
安全感,1
圆满,1
同步,1
取得,1
决定性,1
绝大多数,1
现在,1
攻城,1
拔寨,1
有力,1
精细,1
两不愁,1
全面解决,1
剩余,1
聚焦,1
瞄准,1
薄弱环节,1
发力,1
狠抓,1
发生率,1
难度,1
精锐,1
强力,1
挂牌,1
督战,1
群体,1
落细,1
养老保险,1
特困,1
供养,1
临时,1
应保,1
尽保,1
各级,1
部分,1
城乡建设,1
增减,1
小额,1
党建,1
认真,1
查找,1
漏洞,1
缺项,1
清零,1
对账,1
销号,1
总结,1
做法,1
预警,1
边缘,1
提供,1
消费,1
退耕还林,1
扶志,1
扶智,1
激发,1
内生,1
动力,1
严把,1
杜绝,1
虚假,1
经得起,1
检验,1
督导,1
及时发现,1
普查,1
展现,1
壮阔,1
实践,1
事业,1
历史性,1
揭示,1
伟大成就,1
背后,1
世界,1
讲好,1
生动,1
故事,1
总体,1
摘帽,1
继续执行,1
东西部,1
对口,1
支援,1
定点,1
腐败,1
作风,1
接续,1
我国,1
状况,1
变化,1
转向,1
作战,1
平稳,1
转型,1
顶层,1
设计,1
公共服务,1
四好,1
提质,1
扩面,1
省域,1
市域,1
具备条件,1
建制,1
村通,1
路和通,1
客车,1
较大,1
自然村,1
等通,1
村内,1
道路,1
成品油,1
税费,1
立法,1
道路交通,1
抵边,1
电网,1
升级,1
光纤网络,1
第四代,1
覆盖,1
应由,1
承担,1
费用,1
预算,1
规模化,1
管网,1
城乡,1
一体化,1
中央苏区,1
安全工程,1
饮用水,1
水源,1
水质,1
搞好,1
革命,1
东部,1
近郊区,1
户用,1
无害化,1
其他,1
实事求是,1
选择,1
适宜,1
改厕,1
证明,1
切实可行,1
垃圾,1
源头,1
梯次,1
所在地,1
黑臭,1
水体,1
清洁,1
绿化,1
美丽,1
家园,1
公共设施,1
寄宿制,1
小规模,1
办学条件,1
教学质量,1
教师队伍,1
全面推行,1
县管,1
校聘,1
支教,1
低于,1
高于,1
当地,1
公务员,1
职称,1
评聘,1
当地政府,1
住房,1
保障体系,1
控辍,1
保学,1
普及,1
学位,1
随迁,1
子女,1
上学,1
重视,1
多渠道,1
普惠性,1
特殊教育,1
通用,1
语言文字,1
学前,1
普通话,1
招生,1
卫生室,1
消除,1
空白点,1
共同体,1
本科,1
以上学历,1
或经,1
住院医师,1
合格,1
全科,1
招聘,1
应聘,1
艰苦,1
边远地区,1
应届,1
高校,1
大学,1
期间,1
学费,1
补偿,1
助学,1
代偿,1
允许,1
盘活,1
卫生机构,1
编制,1
聘用,1
村医,1
预防,1
控制,1
传染病,1
适龄,1
宫颈癌,1
乳腺癌,1
公共卫生,1
十一,1
医疗保险,1
个人,1
缴费,1
大病,1
经办,1
服务水平,1
地级市,1
窗口,1
单制,1
结算,1
对象,1
留守,1
关爱,1
互助,1
形式,1
日间,1
照料,1
失能,1
重度,1
残疾人,1
十二,1
惠民,1
文艺团体,1
文艺工作者,1
人才培养,1
乡土,1
文艺,1
团组,1
遗传,1
承人,1
民间艺人,1
收徒,1
传艺,1
优秀,1
戏曲,1
曲艺,1
少数民族,1
民间文化,1
名镇,1
村落,1
民族,1
建筑,1
文化遗产,1
古树名,1
木等,1
主题,1
十三,1
生态环境,1
畜禽,1
资源化,1
大规模,1
养殖场,1
农药,1
化肥,1
农膜,1
污染,1
秸秆,1
综合利用,1
长江流域,1
水域,1
常年,1
禁捕,1
渔民,1
退捕,1
侵蚀,1
东北,1
保护性,1
耕作,1
行动计划,1
土壤污染,1
管控,1
修复,1
华北地区,1
地下水,1
超采,1
水系,1
5.790,1
0.23,1
3.82%,1
促进,1
十四,1
始终,1
治国,1
理政,1
头等大事,1
稳字,1
当头,1
面积,1
省长,1
责任制,1
播种面积,1
最低,1
收购价,1
完全,1
成本,1
高产,1
间作,1
农艺,1
草地,1
夜蛾,1
病虫害,1
统防,1
统治,1
代耕,1
代种,1
大县,1
奖励,1
跨省,1
北方,1
农牧,1
交错带,1
改饲,1
种养,1
结合,1
新疆,1
棉花,1
价格政策,1
拓展,1
多元化,1
适应,1
国内,1
需求,1
出口,1
反走私,1
十五,1
当前,1
综合性,1
年底,1
产能,1
接近,1
正常,1
年份,1
省负,1
总责,1
压实,1
菜篮子,1
市长,1
负责制,1
补栏,1
增养,1
疫病,1
中小,1
散养,1
饲料,1
各项政策,1
打通,1
环评,1
瓶颈,1
纠正,1
随意,1
限养,1
禁养区,1
无猪市,1
无猪,1
非洲,1
猪瘟,1
疫情报告,1
疫苗,1
特聘,1
屠宰,1
集中区,1
逐步,1
减少,1
活猪,1
长距离,1
调运,1
运猪,1
运肉,1
转变,1
调控,1
稳价,1
扰乱,1
物价上涨,1
联动机制,1
奶业,1
禽类,1
牛羊,1
肉类,1
消费结构,1
水产,1
健康,1
渔港,1
十六,1
提早,1
重大项目,1
及早,1
落地,1
功能区,1
保护区,1
修编,1
如期完成,1
灌区,1
续建,1
防汛,1
抗旱,1
开工,1
水利工程,1
南水北调,1
前期工作,1
适时,1
建设工程,1
统筹规划,1
分级,1
骨干,1
产地,1
运输,1
初加工,1
价格,1
依托,1
数据中心,1
联网,1
数据,1
区块,1
人工智能,1
第五代,1
智慧,1
信息技术,1
十七,1
富民,1
立足,1
资源优势,1
各具特色,1
分享,1
增值,1
竞争力,1
集群,1
产业园,1
示范园,1
双创,1
联合体,1
订单,1
分红,1
融入,1
绿色食品,1
地理,1
标志,1
认证,1
知名,1
开发,1
服务网络,1
电商,1
站点,1
进城,1
工业品,1
双向,1
流通,1
全过程,1
安全监管,1
追溯,1
人民,1
舌尖,1
工商,1
资本,1
切实,1
合法权益,1
核算,1
准确,1
反映,1
营销,1
价值,1
十八,1
涉企,1
减税,1
降费,1
援企稳,1
放宽,1
稳岗,1
返还,1
申领,1
常住,1
均等化,1
拖欠,1
黑名单,1
根治,1
欠薪,1
各项,1
家政,1
餐饮,1
烹饪,1
区域性,1
劳务,1
设立,1
保洁员,1
水管员,1
护路,1
护林员,1
公益性,1
岗位,1
业态,1
从业人员,1
伤害,1
带头人,1
返乡,1
一次性,1
充分发挥,1
全部,1
战斗力,1
实力,1
带领,1
共同致富,1
动员群众,1
主人翁,1
意识,1
维护,1
教育引导,1
革除,1
陈规陋习,1
弘扬,1
公序良,1
文明,1
乡风,1
密切联系,1
紧密团结,1
牢党,1
执政,1
备案,1
管理制度,1
两委,1
联审,1
化机制,1
各种,1
监督管理,1
组织部门,1
牵头,1
协调,1
民政,1
共同,1
加强指导,1
监督机制,1
四议,1
公开,1
巡察,1
纪检监察,1
委员会,1
沟通,1
合力,1
青年,1
发展党员,1
薄弱,1
派驻,1
第一书记,1
运转,1
村干部,1
选优,1
配强,1
领导班子,1
党委书记,1
听党,1
感党,1
跟党走,1
宣讲,1
二十,1
联动,1
下移,1
下沉,1
效能,1
一线,1
指挥部,1
导向,1
本领,1
和县,1
负责人,1
包村,1
服务中心,1
统一,1
服务平台,1
充实,1
民生,1
单元,1
自我管理,1
自我教育,1
民主,1
村规民约,1
村民,1
制度化,1
程序化,1
法治,1
德治,1
创新性,1
典型,1
案例,1
注重,1
家教,1
家风,1
二十一,1
调处,1
纠纷,1
枫桥,1
人民调解,1
做到,1
小事,1
上交,1
表达,1
妥善处理,1
侵害,1
利益,1
妥善,1
征地,1
拆迁,1
环境污染,1
市县,1
下基层,1
接访,1
积极,1
信访,1
积案,1
一村,1
法律顾问,1
形式多样,1
法律,1
关系,1
切身利益,1
容易,1
引发,1
决策,1
事项,1
评估,1
二十二,1
平安,1
扫黑,1
除恶,1
专项斗争,1
纵深,1
严厉打击,1
侵占,1
惠农,1
侵犯,1
妇女儿童,1
人身权利,1
违法犯罪,1
反腐败,1
斗争,1
拍蝇,1
村霸,1
宗教事务,1
制止,1
宗教,1
邪教,1
渗透,1
封建迷信,1
蔓延,1
社会治安,1
网格化,1
假冒伪劣,1
制售,1
假劣,1
农资,1
违法,1
违规行为,1
防灾,1
减灾,1
安全隐患,1
二十三,1
财政投入,1
相适应,1
一般,1
支出,1
一定,1
需要,1
取之于,1
用之于,1
土地出让,1
进一步提高,1
比例,1
购置,1
赋予,1
更大,1
自主权,1
本轮,1
补奖,1
货币,1
财税,1
正向,1
低成本,1
容忍度,1
奖补,1
法人,1
金融机构,1
支农,1
支小再,1
贷款额度,1
信用社,1
法人地位,1
资金外流,1
严重,1
存贷,1
商业银行,1
金融债券,1
小额贷款,1
优惠政策,1
现行,1
减免,1
农业贷款,1
期限,1
周期,1
相匹配,1
全国,1
做大,1
温室,1
大棚,1
圈舍,1
大型,1
经营权,1
合规,1
融资,1
稳妥,1
中小企业,1
信用等级,1
评价,1
上线,1
银保担,1
共担,1
金融服务,1
推出,1
更多免,1
低利率,1
产品,1
保费,1
保险机构,1
足额,1
理赔,1
期权,1
上市,1
二十四,1
破解,1
难题,1
坚守,1
永久,1
基本农田,1
红线,1
明确,1
类型,1
分类管理,1
种植,1
配建,1
晾晒,1
存贮,1
库房,1
废弃物,1
处理,1
房等,1
上限,1
严禁,1
为名,1
从事,1
非农,1
全域,1
空间布局,1
符合,1
前提,1
整理,1
节余,1
新编,1
乡级,1
不少,1
10%,1
土地利用,1
年度计划,1
至少,1
5%,1
租用,1
放管服,1
梳理,1
审核,1
下放,1
权限,1
多审,1
多证,1
二十五,1
更多知,1
农爱农,1
扎根,1
科技成果,1
田间,1
地头,1
大学生,1
退役军人,1
等到,1
广播,1
科研院所,1
院校,1
高素质,1
动员,1
科研人员,1
工程师,1
规划师,1
建筑师,1
晋升,1
高级职称,1
原则上,1
以上,1
经历,1
学科专业,1
急需,1
紧缺,1
专业,1
提前,1
批次,1
录取,1
二十六,1
支撑,1
核心技术,1
攻关,1
抢占,1
制高点,1
生物,1
种业,1
自主,1
种质,1
南繁,1
科研,1
育种,1
智能化,1
复合型,1
农业机械,1
丘陵,1
山区,1
机化,1
发展壮大,1
长期,1
覆盖范围,1
配置,1
高新技术,1
示范区,1
科技园区,1
平台,1
二十七,1
第二轮,1
延长,1
30,1
延包,1
具体办法,1
多种形式,1
规模经营,1
社会化,1
经营性,1
入市,1
占用,1
失控,1
确权,1
颁证,1
所有权,1
资格,1
三权,1
分置,1
产权制度,1
身份,1
确认,1
折股,1
量化,1
股份合作制,1
赋码,1
拓宽,1
路径,1
农垦,1
国有,1
林区,1
林场,1
林权,1
承包经营,1
水价,1
行政,1
各级党委,1
学习,1
总书记,1
论述,1
摆在,1
突出位置,1
框架,1
优先发展,1
五级,1
县委书记,1
精力,1
农村干部,1
待遇,1
出发,1
因地制宜,1
尊重,1
意愿,1
尽力而为,1
量力而行,1
当务之急,1
力戒,1
形式主义,1
官僚主义,1
简单化,1
一刀切,1
作为,1
巡视,1
内容,1
我们,1
团结,1
同志,1
核心,1
坚定信心,1
锐意进取,1
埋头苦干,1
决胜,1
应有,1
贡献,1
